TYPE,CITATION_INTERVAL,N,CPP_MEAN,CPP_95CI
Control,0,7087,0.03279966491726866,0.0036794852853932495
Control,1,6648,0.0485735610236785,0.0044834577354673135
Control,2,6179,0.07152349318143754,0.005787223655929459
Control,3,5752,0.10149174162570909,0.00722521046001633
Control,4,5337,0.1285325434086795,0.008414650638741413
Control,5,4940,0.14803965404183922,0.009481882329996345
Control,6,4539,0.17689748128529825,0.01080152266374125
Control,7,4230,0.19321521512418696,0.011677182233582236
Control,8,3927,0.20160235215938702,0.01241412660192459
Control,9,3630,0.21621583490023114,0.013199493618587762
Control,10,3337,0.23407277943379776,0.014251101302279863
Control,11,3094,0.23812493317418637,0.01498346304123108
Control,12,2851,0.23449791993737099,0.015684837946442688
Control,13,2635,0.24616251360304872,0.016669441373811697
Control,14,2434,0.2498598145892442,0.01743273701381589
Control,15,2259,0.2437040718243023,0.017647286924809106
Control,16,2076,0.25372998535109303,0.0191588697456795
Control,17,1909,0.25168553478668965,0.020044282261813356
Control,18,1788,0.2711562721181027,0.0214795511947456
Control,19,1610,0.28394252448444524,0.023048662466059827
Control,20,1482,0.27347349375974933,0.023670335692323546
Control,21,1373,0.286075293923914,0.024685927019591783
Control,22,1265,0.28276806302072016,0.026046198403924328
Control,23,1156,0.2775173944815557,0.027017725644699595
Control,24,1073,0.26712898059554135,0.02823120698010416
Control,25,983,0.26618692089962037,0.02933005117854613
Control,26,894,0.2686534748188948,0.030631908825343206
Control,27,814,0.29077081591724446,0.03301102622663379
Control,28,736,0.26800277573371073,0.033494752756375465
Control,29,671,0.28169345166654586,0.03542070523805284
Control,30,612,0.27847135516010685,0.03737123715112241
Control,31,546,0.2675726309417412,0.03981451160835413
Control,32,480,0.258313909404778,0.04311208740084108
Control,33,413,0.2874781532938712,0.047929420487249255
Control,34,363,0.26016887364486874,0.04667534002594785
Control,35,313,0.23800058650695272,0.04863662639163167
Control,36,278,0.24215978849237432,0.05256954203021357
Deposited,0,7087,0.04615009895238258,0.004337243261079049
Deposited,1,6648,0.07146121079851549,0.005558135822282803
Deposited,2,6179,0.10630303481333744,0.007144528489679241
Deposited,3,5752,0.1454734569977643,0.008641006950532909
Deposited,4,5337,0.16951986455288984,0.009641568788924606
Deposited,5,4940,0.21118111615974738,0.011208952880841977
Deposited,6,4539,0.22790414478067356,0.012077739049469544
Deposited,7,4230,0.2474628966725953,0.013425210425392646
Deposited,8,3927,0.27369366696507524,0.014457363162314324
Deposited,9,3630,0.28843532191183274,0.015326602399667304
Deposited,10,3337,0.30016962755616644,0.01650605042564077
Deposited,11,3094,0.3081786637254454,0.017256308607529407
Deposited,12,2851,0.32660901247493535,0.018600923142771498
Deposited,13,2635,0.33072386056382314,0.01945704966622264
Deposited,14,2434,0.3475523356102407,0.020489919464530593
Deposited,15,2259,0.35002053934306954,0.021447076752318394
Deposited,16,2076,0.3611503575806356,0.02290625745387197
Deposited,17,1909,0.3734382302024262,0.024381958613007678
Deposited,18,1788,0.36182978673331284,0.025077724957729218
Deposited,19,1610,0.35419658575839497,0.026367668447960235
Deposited,20,1482,0.3833172126899774,0.027549361410184024
Deposited,21,1373,0.37403283580672286,0.028902297590089204
Deposited,22,1265,0.38652880360027475,0.030472303218863777
Deposited,23,1156,0.3915685179675653,0.0328886928456487
Deposited,24,1073,0.43644084741522293,0.03559334115240653
Deposited,25,983,0.4000502737727998,0.036273567950513404
Deposited,26,894,0.39379114829375383,0.038268476120232896
Deposited,27,814,0.3887449804146625,0.04105509288471006
Deposited,28,736,0.41762493124591515,0.043811186708882066
Deposited,29,671,0.3683581198477183,0.044398903436008295
Deposited,30,612,0.3817094529214431,0.04629798810184687
Deposited,31,546,0.4215061831206773,0.05108197537035795
Deposited,32,480,0.4388503843445091,0.05598777442996443
Deposited,33,413,0.4026820917212192,0.05994963092379731
Deposited,34,363,0.4121690875517548,0.06457567149525406
Deposited,35,313,0.44324812671790426,0.07383855411439436
Deposited,36,278,0.4609870428341507,0.07781374645477533
