IS_PUBLISHED,CITATION_INTERVAL,N,CPP_MEAN,CPP_95CI
Published,0,7087,0.0012714707700408195,6.905811968451529e-4
Published,1,7080,0.0058501316097177005,0.0015113979300411464
Published,2,7046,0.012272707711211717,0.0021586628233281843
Published,3,6978,0.014155954248564256,0.002361956212611057
Published,4,6858,0.018185404638820492,0.0027474462126815804
Published,5,6695,0.01615117082609877,0.002589724217725631
Published,6,6473,0.018040326444840576,0.0029266916356126146
Published,7,6135,0.01800076182130812,0.002893773515911855
Published,8,5782,0.016209711619386984,0.002952078466770362
Published,9,5479,0.015119157436320979,0.0028968358049832237
Published,10,5111,0.013167862169601264,0.0028100555845160303
Published,11,4812,0.013958315078181118,0.0030215063619092467
Published,12,4541,0.010826103021056398,0.0026361143219103813
Published,13,4258,0.009291365384320266,0.0025955243166432248
Published,14,4005,0.011207157977428476,0.0028483079589298067
Published,15,3744,0.007807148669651198,0.0023948923683357035
Published,16,3490,0.006985081477150277,0.002482826283316956
Published,17,3224,0.008851370173267413,0.002873857687005586
Published,18,2987,0.008336519082363247,0.0028816238559939583
Published,19,2755,0.005179095723886414,0.002279366210558558
Published,20,2510,0.005846164871480173,0.0025875468205223185
Published,21,2308,0.004680534149266613,0.002384760041985576
Published,22,2082,0.006187374811809404,0.0030154873664203414
Published,23,1909,0.003329548276949131,0.0023587712313564656
Published,24,1791,0.003935932351343293,0.0026247150438771026
Published,25,1684,0.004356850898876257,0.0027301042078988302
Published,26,1543,0.0041193179913777645,0.0029170649349479936
Published,27,1418,0.004685324212374945,0.0030977965386045176
Published,28,1307,0.0026516724581482224,0.0023206886076924628
Published,29,1193,0.005229106978239319,0.0037667524431380254
Published,30,1094,0.004435128211992337,0.0032764982561162893
Published,31,1008,0.0013752920249205263,0.00190507585533353
Published,32,940,0.002212171852850889,0.002500594808123957
Published,33,866,0.007671812624881838,0.005063477194789217
Published,34,787,0.0017614921996440796,0.0024397053181912307
Published,35,728,0.0024612080621264493,0.0034950728487436987
Published,36,643,0.0010779893943389507,0.0021128203886204887
Unpublished,0,11754,0.0013563370046689417,5.537897752645511e-4
Unpublished,1,10662,0.00562897417335054,0.0012008358107413652
Unpublished,2,9500,0.007673498630994804,0.0014714265903847687
Unpublished,3,8359,0.011699894663652309,0.001985336851064485
Unpublished,4,7417,0.013917596589226484,0.0022920771560922815
Unpublished,5,6592,0.018121664083890043,0.0028262067850737265
Unpublished,6,5836,0.020112845801803173,0.0031288293465121394
Unpublished,7,5077,0.019013375648612597,0.0032312557024380085
Unpublished,8,4472,0.018184814890475763,0.0034880329337713045
Unpublished,9,4034,0.01845700518238615,0.00362941969333655
Unpublished,10,3588,0.020185314249786878,0.004112477630196112
Unpublished,11,3264,0.01718529584075262,0.003805169033314102
Unpublished,12,2948,0.014617675790492874,0.0036500511360459307
Unpublished,13,2674,0.017499704638925015,0.004352586469339754
Unpublished,14,2464,0.018709847006463286,0.004623051469056111
Unpublished,15,2270,0.017255326527896953,0.004662465163314591
Unpublished,16,2086,0.020908991550401504,0.005358423329308916
Unpublished,17,1904,0.015982464068555902,0.005266648993411261
Unpublished,18,1755,0.011021984350165753,0.004479001518179808
Unpublished,19,1587,0.01244426442510968,0.004911997198933417
Unpublished,20,1444,0.01704536040621,0.006113782194806394
Unpublished,21,1301,0.012344479775968581,0.005182423518918934
Unpublished,22,1161,0.012537545901601077,0.005315870722811427
Unpublished,23,1063,0.01081450611201062,0.005311061612219097
Unpublished,24,979,0.02076037976256652,0.007793967011697579
Unpublished,25,892,0.017550115561016773,0.007298800728322499
Unpublished,26,806,0.0164858306033441,0.00764904151940043
Unpublished,27,740,0.016082817709696558,0.007928540262870229
Unpublished,28,686,0.012716080575550303,0.007222463424712274
Unpublished,29,641,0.012711181169928153,0.008026708257451533
Unpublished,30,581,0.011930244071599747,0.007336712095975769
Unpublished,31,539,0.013078394881736247,0.00867806845745037
Unpublished,32,495,0.017622689444095976,0.009978497867456282
Unpublished,33,450,0.020285991962079274,0.012328345433137405
Unpublished,34,409,0.01624398467762267,0.010666853940988385
Unpublished,35,380,0.020064786805682626,0.012748198395389473
Unpublished,36,351,0.01695339758572002,0.011821624942237704
