CITATION_INTERVAL,N,CPP_MEAN,CPP_95CI
-12,562,0.015521763834212648,0.008800525942888975
-11,772,0.009876449463937044,0.005798527666729538
-10,1028,0.006742676853695966,0.004160725883645469
-9,1389,0.013351385772730833,0.005270886091200854
-8,1833,0.009674928871853136,0.0037914635065760577
-7,2405,0.011338173020021054,0.0036792297975003023
-6,3149,0.014856077384721158,0.0036858624802063545
-5,4036,0.013165980016150351,0.003048174017221306
-4,4931,0.01496880995525354,0.0030268957653742383
-3,5760,0.019102293171114088,0.003066358104883061
-2,6401,0.019741760442235676,0.002978368661160888
-1,6845,0.023587061226601584,0.0032651584033412916
0,7047,0.022927499449179,0.003062758113471547
1,6632,0.014830976369331285,0.0025948021785355503
2,6166,0.010605157483611356,0.0022229295455844316
3,5742,0.007908031320683663,0.002012301901604433
4,5328,0.008348198684589504,0.002091224304323615
5,4931,0.008176905193294101,0.0021225064703734526
6,4534,0.007871952535405338,0.002239116939892724
7,4226,0.007052846371054815,0.002146248865135083
8,3924,0.00406278928462761,0.0017266160646733184
9,3629,0.006256257349595701,0.002345387868256096
10,3336,0.004814199097282711,0.0021110192371828294
11,3093,0.005547617354414237,0.0022969352105520206
12,2850,0.005006459199756867,0.002203638439892091
13,2634,0.005044639129193373,0.002357514189702039
14,2433,0.0037036224197613188,0.0020083019825113796
15,2258,0.0064986155125842495,0.002998450236865164
16,2076,0.0037294807426858294,0.002356797243053422
17,1909,0.0014523775391512735,0.0014221844446056136
18,1788,0.001938331041834299,0.0016970882833295387
19,1610,0.0012915785973166682,0.0014606232847255776
20,1482,0.003079857079263047,0.0025084494841469164
21,1373,0.001514524065316705,0.0017125642352291892
22,1265,0.002191769740901013,0.0021453444371885505
23,1156,0.002998041438408068,0.002623296560611877
24,1073,0.004899809293595323,0.004096479266934053
